word,score
vômito,-3.3
péssimo,-3.3
não desenvolvido,-3.3
sem açúcar,-3.3
lixo,-3.3
desavergonhado,-3.3
escabroso,-3.3
irrealizável,-3.3
licencioso,-3.3
xenófobo,-3.3
neurótico,-3.3
imprudente,-3.3
terrível,-3.3
representante,-3.3
cansativo,-3.3
esfarrapado,-3.3
dupla face,-3.3
destacado,-3.3
caprichoso,-3.3
triste,-3.3
sem graça,-3.3
egoísta,-3.3
triste,-3.3
improdutivo,-3.3
fingido,-3.3
mal pago,-3.3
tendencioso,-3.3
cabra,-3.3
sem cultura,-3.3
fora de moda,-3.3
nervoso,-3.3
perfurado,-3.3
flácido,-3.3
inferno,-3.3
indesejado,-3.3
meio idiota,-3.3
suíno,-3.3
assustador,-3.3
louco,-3.3
porra,-3.3
indignado,-3.3
insatisfeito,-3.3
de óculos,-3.3
esgotado,-3.3
movimentada,-3.3
compulsão,-3.3
errado,-3.3
extravagante,-3.3
choroso,-3.3
não confiável,-3.3
provincial,-3.3
маменькин,-3.3
o mastim,-3.3
apático,-3.3
homofóbico,-3.3
passivo,-3.3
doendo,-3.3
perdido,-3.3
pressionando,-3.3
praga,-3.3
pseudocientífico,-3.3
narcisista,-3.3
ignorante,-3.3
invertebrado,-3.3
sem restrições,-3.3
escandaloso,-3.3
jihadista,-3.3
base,-3.3
fofo,-3.3
parasita,-3.3
idiota,-3.3
excêntrico,-3.3
pretensioso,-3.3
zombando,-3.3
bonitinho,-3.3
auto-intitulado,-3.3
desviante,-3.3
podre,-3.3
sexista,-3.3
selvagem,-3.3
trapaça,-3.3
inóspito,-3.3
melancolia,-3.3
mal,-3.3
reprovador,-3.3
buggy,-3.3
insuportável,-3.3
velho,-3.3
sem graça,-3.3
agitado,-3.3
choroso,-3.3
suporte de carga,-3.3
educado,-3.3
negativo,-3.3
sortimento,-3.3
fraco de vontade,-3.3
fecal,-3.3
efeminado,-3.3
baixa qualidade,-3.3
amador,-3.3
subterfúgio,-3.3
hipócrita,-3.3
insalubre,-3.3
natimorto,-3.3
facilmente removível,-3.3
antissocial,-3.3
geneticamente modificado,-3.3
não comunicativo,-3.3
áspero,-3.3
arrogante,-3.3
chauvinista,-3.3
sem casa,-3.3
sem cabeça,-3.3
vulgar,-3.3
doloroso,-3.3
sem dinheiro,-3.3
desclassificado,-3.3
assalto,-3.3
estupefato,-3.3
orgulhoso,-3.3
medíocre,-3.3
mal-intencionados,-3.3
não competitivo,-3.3
utópico,-3.3
vergonhoso,-3.3
viscoso,-3.3
estridente,-3.3
infeliz,-3.3
impiedoso,-3.3
aflito,-3.3
obsessivo,-3.3
voluntarioso,-3.3
meio morto,-3.3
vertical,-3.3
vulgar,-3.3
sem lei,-3.3
impressionante,-3.3
não digno de nota,-3.3
estreito,-3.3
desinteressante,-3.3
desagradável,-3.3
voando,-3.3
antinatural,-3.3
reivindicação,-3.3
não infrequente,-3.3
indiferente,-3.3
falta,-3.3
sem princípios,-3.3
assustado,-3.3
fedido,-3.3
demagógico,-3.3
mate,-3.3
cortar,-3.3
mais branco,-3.3
pseudocientífico,-3.3
deitado,-3.3
característica fraca,-3.3
tirânico,-3.3
implorando,-3.3
exausto,-3.3
vadiagem,-3.3
masoquista,-3.3
covarde,-3
repleto,-1.7
classe,-1.7
imperceptível,-1.7
alcoólatra,-1.7
gelado,-1.7
canino,-1.7
desconhecido,-1.7
astúcia,-1.7
desesperado,-1.7
crônico,-1.7
dramático,-1.7
emergência,-1.7
frágil,-1.7
sala de estar,-1.7
psiquiátrica,-1.7
raivoso,-1.7
quebrado,-1.7
de curta duração,-1.7
estranho,-1.7
solteiro,-1.7
imprudente,-1.7
quebrado,-1.7
controverso,-1.7
não convencional,-1.7
legal,-1.7
viúva,-1.7
mais ou menos,-1.7
involuntário,-1.7
careca,-1.7
incomum,-1.7
sensível,-1.7
marcado,-1.7
ambíguo,-1.7
lixo,-1.7
explosivo,-1.7
falecido,-1.7
viúva,-1.7
tímido,-1.7
pálido,-1.7
o lobo,-1.7
irresistível,-1.7
crítico,-1.7
brutal,-1.7
anormal,-1.7
hamovnichesky,-1.7
esporo,-1.7
teimoso,-1.7
contagioso,-1.7
destinado,-1.7
spyware,-1.7
self-made,-1.7
iminente,-1.7
correcional,-1.7
incompleto,-1.7
incrédulo,-1.7
pouco conhecido,-1.7
obsoleto,-1.7
impulsivo,-1.7
colateral,-1.7
baunilha,-1.7
inexistente,-1.7
bolada,-1.7
os idosos,-1.7
shalny,-1.7
uma vez,-1.7
ressonante,-1.7
fumador,-1.7
escravo,-1.7
lotado,-1.7
prematuro,-1.7
intencional,-1.7
póstuma,-1.7
não sujeito a autoridade,-1.7
intocável,-1.7
irônico,-1.7
irreprimível,-1.7
primitivo,-1.7
obcecado,-1.7
não especificado,-1.7
irreversível,-1.7
confiante,-1.7
nervoso,-1.7
sintético,-1.7
agitacional,-1.7
sem nome,-1.7
burguês,-1.7
dragão,-1.7
violento,-1.7
fictício,-1.7
incrédulo,-1.7
paranormal,-1.7
fugitivo,-1.7
bonde,-1.7
labusky,-1.7
oco,-1.7
mítico,-1.7
propaganda,-1.7
oblíquo,-1.7
maciço,-1.7
variável,-1.7
exorbitante,-1.7
homossexual,-1.7
lobo,-1.7
racial,-1.7
predatório,-1.7
particular,-1.7
tímido,-1.7
suicida,-1.7
servo,-1.7
mogilev,-1.7
mutável,-1.7
recheado,-1.7
não humano,-1.7
colonial,-1.7
pesado,-1.7
cognitivo,-1.7
prolongado,-1.7
excêntrico,-1.7
precipitado,-1.7
desigual,-1.7
insistente,-1.7
diabólico,-1.7
bloqueio,-1.7
sem fim,-1.7
um dia,-1.7
irreparável,-1.7
tardia,-1.7
restritivo,-1.7
peixe,-1.7
pegajoso,-1.7
homem das cavernas,-1.7
feminino,-1.7
touro,-1.7
tartaruga,-1.7
pegajoso,-1.7
derramando,-1.7
pró-kremlin,-1.7
irreconciliável,-1.7
miserável,-1.7
antiquado,-1.7
ultrajante,-1.7
proletário,-1.7
mercado de pulgas,-1.7
conhecimento aéreo,-1.7
encenado,-1.7
conhecimento aéreo,-1.7
do outro mundo,-1.7
intransigente,-1.7
psicodélico,-1.7
existencial,-1.7
abandonado,-1.7
oligárquico,-1.7
moinho de vento,-1.7
bastante pequeno,-1.7
bastante pequeno,-1.7
vaca,-1.7
de sangue frio,-1.7
rato,-1.7
deles,-1.7
cinza,-1.7
lá,-1.7
descomplicado,-1.7
sem pressa,-1.7
cabra,-1.7
pressa,-1.7
sionista,-1.7
tecnogênico,-1.7
zeloso,-1.7
árido,-1.7
morrendo,-1.7
tocou,-1.7
marciano,-1.7
anão,-1.7
estoque,-1.7
de hora em hora,-1.7
rígido,-1.7
sharia,-1.7
obsoleto,-1.7
sem resposta,-1.7
fugaz,-1.7
surreal,-1.7
corcunda,-1.7
ilusório,-1.7
inexperiente,-1.7
não é jovem,-1.7
paliativo,-1.7
astral,-1.7
despretensioso,-1.7
militante,-1.7
coelho,-1.7
bolchevique,-1.7
oculto,-1.7
pow,-1.7
sem limites,-1.7
bastante pequeno,-1.7
descongelado,-1.7
radiação,-1.7
inseguro,-1.7
de longa duração,-1.7
bermudas,-1.7
islamista,-1.7
mutável,-1.7
contraditório,-1.7
alérgica,-1.7
trojan,-1.7
inacessível,-1.7
não sistêmico,-1.7
proscrito,-1.7
zhestkovaty,-1.7
zhestkovaty,-1.7
barbeado,-1.7
penitenciária,-1.7
inacessível,-1.7
diminuído,-1.7
denso,-1.7
fulvo,-1.7
alguns,-1.7
ovelha,-1.7
marinheiro,-1.7
inconveniente,-1.7
latente,-1.7
coberto de vegetação,-1.7
inflamatório,-1.7
pragmático,-1.7
contraindicado,-1.7
pré-histórico,-1.7
infrequente,-1.7
queimar,-1.7
punível,-1.7
carnal,-1.7
psovy,-1.7
enrolado,-1.7
não funciona,-1.7
chamativo,-1.7
algodão,-1.7
metafísico,-1.7
insatisfeito,-1.7
pró-governo,-1.7
ventoso,-1.7
solteiro,-1.7
marcado com o pote,-1.7
intencional,-1.7
gordo,-1.7
solto,-1.7
ácido,-1.7
congelado,-1.7
não reconhecido,-1.7
acrid,-1.7
bty,-1.7
medíocre,-1.7
deserta,-1.7
curto,-1.7
monótono,-1.7
stsuky,-1.7
órfão,-1.7
escape,-1.7
fazenda coletiva,-1.7
ventilador,-1.7
careca,-1.7
vypadky,-1.7
muitos lados,-1.7
assunto,-1.7
produção de conservas,-1.7
pesquisa,-1.7
chekist,-1.7
bichevsky,-1.7
sombrio,-1.7
plantada,-1.7
salto,-1.7
frenético,-1.7
outro,-1.7
não confiável,-1.7
absurdo,-1.7
velado,-1.7
inatingível,-1.7
new-fangled,-1.7
descoberto,-1.7
prolongado,-1.7
tímido,-1.7
inacabado,-1.7
concentração,-1.7
insaciável,-1.7
especulativo,-1.7
supersticioso,-1.7
marginal,-1.7
ady,-1.7
furacão,-1.7
galgo,-1.7
não planejado,-1.7
vacilante,-1.7
imperecível,-1.7
inflexível,-1.7
complicado,-1.7
baixo,-1.7
lamentável,-1.7
insatisfeito,-1.7
boêmio,-1.7
volumoso,-1.7
graças ao putin,-1.7
frio,-1.7
empréstimo,-1.7
contrabando,-1.7
atípico,-1.7
acrobático,-1.7
dízimos,-1.7
margem esquerda,-1.7
instável,-1.7
irritante,-1.7
epidemiológico,-1.7
mutável,-1.7
morto,-1.7
amalenky,-1.7
surozhsky,-1.7
maleável,-1.7
subordinado,-1.7
sem vida,-1.7
arcaico,-1.7
não partidária,-1.7
palestra,-1.7
urbano,-1.7
frontal,-1.7
besta sagrada,-1.7
bazar,-1.7
disfarçado,-1.7
gordura,-1.7
sem graça,-1.7
generalizado,-1.7
gregoriano,-1.7
instável,-1.7
transcendente,-1.7
hipster,-1.7
escravidão,-1.7
jodny,-1.7
áspero,-1.7
novorossisk,-1.7
entrou em colapso,-1.7
fabricação de cerveja,-1.7
vaidoso,-1.7
sem licença,-1.7
espinhoso,-1.7
anti-russo,-1.7
pathos,-1.7
inerte,-1.7
pop,-1.7
svyatoshinsky,-1.7
martirizado,-1.7
russofóbico,-1.7
imutável,-1.7
ressuscitativo,-1.7
mais selvagem,-1.7
abusivo,-1.7
inconstitucional,-1.7
aventureiro,-1.7
pomposo,-1.7
homegrown,-1.7
não iniciados,-1.7
estupefato,-1.7
problemático,-1.7
melancólico,-1.7
lacônico,-1.7
deficientes visuais,-1.7
comprido,-1.7
renunciou,-1.7
torturado,-1.7
recusa,-1.7
indigente,-1.7
insatisfeito,-1.7
subversivo,-1.7
endurecido,-1.7
cócegas,-1.7
choroso,-1.7
referencial,-1.7
encaracolado,-1.7
ressaca,-1.7
desvalorização,-1.7
utópico,-1.7
prequel,-1.7
despretensioso,-1.7
extremamente pequeno,-1.7
destruído,-1.7
isolado,-1.7
gangster,-1.7
periférico,-1.7
mitigação,-1.7
exclusivo,-1.7
hassídico,-1.7
sem dono,-1.7
purulento,-1.7
decrépito,-1.7
sem fundamento,-1.7
vaidoso,-1.7
cascavel,-1.7
desajeitado,-1.7
intrigado,-1.7
chomsky,-1.7
anti-igreja,-1.7
extinto,-1.7
de baixo orçamento,-1.7
obscuro,-1.7
otvyaznyj,-1.7
não fechar,-1.7
fraco,-1.7
nomenclatura,-1.7
ridículo,-1.7
ímpio,-1.7
não politicamente correto,-1.7
o falecido,-1.7
pesado,-1.7
prosaico,-1.7
жорстокий,-1.7
sarcástico,-1.7
sobyaninsky,-1.7
repreensível,-1.7
nahagaty,-1.7
ligado,-1.7
torre,-1.7
compassivo,-1.7
sem graça,-1.7
corte,-1.7
galês,-1.7
filisteu,-1.7
sem sangue,-1.7
sem pernas,-1.7
desorganizado,-1.7
sonolento,-1.7
extremo,-1.7
gangrena,-1.7
secreto,-1.7
sem solução,-1.7
crescendo,-1.7
chuvoso,-1.7
repreendido,-1.7
não reconhecido,-1.7
guloso,-1.7
desigual,-1.7
lésbica,-1.7
fantasma,-1.7
míope,-1.7
hipoalergênico,-1.7
sem convite,-1.7
canela,-1.7
hipertrofiado,-1.7
profano,-1.7
lar de crianças,-1.7
miopia,-1.7
cartão,-1.7
imhonny,-1.7
desmotivado,-1.7
astuto,-1.7
separatista,-1.7
anti-séptico,-1.7
notório,-1.7
goymy,-1.7
anti-social,-1.7
cabalístico,-1.7
o indiscriminado,-1.7
indivisível,-1.7
proibitivo,-1.7
hardish,-1.7
pequeno,-1.7
fresco,-1.7
queimado,-1.7
não-alternativa,-1.7
não comestível,-1.7
áspero,-1.7
insatisfeito,-1.7
burguês,-1.7
amorfo,-1.7
venéreo,-1.7
ulcerativa,-1.7
irracional,-1.7
inaudível,-1.7
ajustável,-1.7
sem qualificação,-1.7
desapaixonado,-1.7
esquisito,-1.7
inescrutável,-1.7
satanás,-1.7
desproporcional,-1.7
durias,-1.7
pesado,-1.7
queimado,-1.7
desgastado,-1.7
dubkovsky,-1.7
arrepiante,-1.7
ávido,-1.7
condenado,-1.7
obsoleto,-1.7
analfabeto,-1.7
orgulhoso,-1.7
eki,-1.7
estúpido,-1.7
obmezhenny,-1.7
semisweet,-1.7
assimétrico,-1.7
azedo,-1.7
desajeitado,-1.7
obsoleto,-1.7
eyny,-1.7
trenó,-1.7
tarde,-1.7
residual,-1.7
tarde,-1.7
frágil,-1.7
ineficaz,-1.7
shnobelevsky,-1.7
irreligioso,-1.7
estúpido,-1.7
congelado,-1.7
emaciado,-1.7
sem escrúpulos,-1.7
modesto,-1.7
insano,-1.7
gostoso,-1.7
implícito,-1.7
antraz,-1.7
inquietante,-1.7
infernal,-1.7
invejável,-1.7
apertado,-1.7
patogênico,-1.7
irresponsável,-1.7
não desenvolvido,-1.7
gasto,-1.7
de olhos estreitos,-1.7
bblzy,-1.7
de pele grossa,-1.7
ilegal,-1.7
não lucrativo,-1.7
desafiador,-1.7
nashist,-1.7
destrutivo,-1.7
premeditado,-1.7
obscuro,-1.7
precipitado,-1.7
pedal,-1.7
indeterminado,-1.7
inconsistente,-1.7
disruptivo,-1.7
partidário,-1.7
spoiler,-1.7
livre,-1.7
encorpado,-1.7
yshly,-1.7
ilegítimo,-1.7
fantasmagórico,-1.7
estrume,-1.7
sem sucesso,-1.7
viciado,-1.7
não regulamentado,-1.7
insano,-1.7
inválido,-1.7
inconsistente,-1.7
frio,-1.7
fakinskiy,-1.7
espinhento,-1.7
conhecimento aéreo,-1.7
sujo,-1.7
angular,-1.7
imoderado,-1.7
invencível,-1.7
usurário,-1.7
segunda taxa,-1.7
amerikosovy,-1.7
ultimate,-1.7
não resolvido,-1.7
subterrâneo,-1.7
solteira,-1.7
puritano,-1.7
fraco,-1.7
semi-alfabetizado,-1.7
nivelamento,-1.7
normalmente,-1.7
musgoso,-1.7
caligrafia,-1.7
asceta,-1.7
provocador,-1.7
sem cortes,-1.7
rápido,-1.7
syakoy,-1.7
pesado,-1.7
imperfeito,-1.7
sub-cartões,-1.7
gordo,-1.7
iônico,-1.7
lento,-1.7
impraticável,-1.7
louco,-1.7
